File,Title,Background
"assets/stickers/proud-cat.gif","Proud Cat",#fff
"assets/stickers/coffee.gif","Coffee",#fff
"assets/stickers/bee-kind.gif","Bee Kind",#fff
"assets/stickers/hahaha.gif","Ha Ha Ha",#fff
"assets/stickers/jajaja.gif","JaJaJa",#fff
"assets/stickers/love-squeeze.gif","Love Squeeze",#fff
"assets/stickers/confetti.gif","Confetti",#fff
"assets/stickers/love-hearts.gif","Love Hearts",#fff
"assets/stickers/music-headphones.gif","Music",#fff
"assets/stickers/kisses.gif","Kisses",#fff
"assets/stickers/maracas.gif","Dancing with maracas",#fff
"assets/stickers/halloween-pumpkin.gif","Halloween Pumpkin",#fff
"assets/stickers/sleepy.gif","Sleepy",#fff
"assets/stickers/impatient.gif","Impatient",#fff
"assets/stickers/angry.gif","Angry",#fff
"assets/stickers/music.gif","Music",#fff
"assets/stickers/peekaboo.gif","Peekaboo!",#fff
"assets/stickers/work.gif","Work",#fff
"assets/stickers/buffering.gif","Buffering",#fff
"assets/stickers/breathe.gif","Breathe",#fff
"assets/stickers/writing.gif","Writing",#fff
"assets/stickers/hearts.gif","Hearts and Sparkles",#fff
"assets/stickers/sparkles.gif","Sparkles and Hearts",#fff
"assets/stickers/sleeping-cat.gif","Sleeping Cat",#fff
"assets/stickers/happy-birthday.gif","Happy Birthday",#fff
"assets/stickers/link-in-bio.gif","Link In Bio",#fff
"assets/stickers/link-in-bio-anim.gif","Link In Bio",#fff
"assets/stickers/new-post.gif","New post",#fff
"assets/stickers/new-post-flowers.gif","New Post",#fff
"assets/stickers/cool.gif","Cool!",#fff
"assets/stickers/wow.gif","Wow!",#fff
"assets/stickers/thank-you.gif","Thank You",#fff
"assets/stickers/yes.gif","Yes!",#000
"assets/stickers/amazing.gif","Amazing!",#000
"assets/stickers/love.gif","Love",#fff
"assets/stickers/three-hearts.gif","Hearts",#fff
"assets/stickers/new.gif","New!",#fff
"assets/stickers/yay.gif","Yay!",#fff
"assets/stickers/happy.gif","Happy",#fff
"assets/stickers/cool-beans.gif","Cool Beans",#fff
"assets/stickers/virtual-hugs.gif","Virtual Hugs",#000
"assets/stickers/stars-and-sparkles.gif","Stars and Sparkles",#000
"assets/stickers/washi-tape-1.gif","Washi Tape",#fff
"assets/stickers/washi-tape-2.gif","Washi Tape",#fff
"assets/stickers/washi-tape-3.gif","Washi Tape",#fff
"assets/stickers/on-a-coffee-break.gif","On a Coffee Break",#000
"assets/stickers/coffee-cup.gif","Coffee Cup",#000
"assets/stickers/flower-explosion.gif","Flower Explosion",#fff
"assets/stickers/chalk-arrow.gif","Chalk Arrow",#000
"assets/stickers/love-this.gif","Love This!",#fff
"assets/stickers/chalk-heart.gif","Chalk Heart",#000
"assets/stickers/migo-friday.gif","Friday!",#000
"assets/stickers/star.gif","Star",#000
"assets/stickers/thank-you-pling.gif","Thank you",#fff
"assets/stickers/animated-arrow.gif","Arrow",#000
"assets/stickers/happy-birthday-2.gif","Happy Birthday",#fff
"assets/stickers/followers-1.gif","I Love My Followers",#fff
"assets/stickers/followers-2.gif","I Love My Followers",#000
"assets/stickers/trick-or-treat.gif","Trick Or Treat",#000
"assets/stickers/bats.gif","Bats!",#fff
"assets/stickers/pumpkin.gif","Pumpkin",#fff
"assets/stickers/i-drew-this.gif","I Drew This!",#000
"assets/stickers/i-love-digital-art.gif","I Love Digital Art!",#000
"assets/stickers/twinkles.gif","Twinkles",#000
"assets/stickers/yummy.gif","Yummy!",#fff
"assets/stickers/heart-bubble.gif","Love",#fff
"assets/stickers/yummy-2.gif","",#000
